"","Name","Plant_ID","Type","Experiment","Cohort","Harvested","Age","Site","Treatment","Line","Genotype","Block"
"M1551P81","8_1382.root","8_1382","root","ecotypes",2008,2011,3,"Jam","field","MIL.70.A","MIL","8_29"
"M1551P29","8_0897.root","8_0897","root","ecotypes",2008,2011,3,"Sil","field","MAH.46.A","MAH","8_19"
"M1551P90","8_0656.root","8_0656","root","ecotypes",2008,2011,3,"Sil","field","MAH.38.B","MAH","8_14"
"M1551P48","8_1013.root","8_1013","root","ecotypes",2008,2011,3,"Jam","field","PAR.22.A2","PAR","8_22"
"M1551P31","8_1048.root","8_1048","root","ecotypes",2008,2011,3,"Jam","field","SILLow.2","SIL","8_22"
"M1551P37","8_0609.root","8_0609","root","ecotypes",2008,2011,3,"Jam","field","SILLow.2","SIL","8_13"
"M1551P72","8_0101.leaf","8_0101","leaf","ecotypes",2008,2011,3,"Mil","field","MIL.60.A","MIL","8_03"
"M1551P67","8_0608.root","8_0608","root","ecotypes",2008,2011,3,"Jam","field","MAH.16.A","MAH","8_13"
"M1551P10","8_0351.leaf","8_0351","leaf","ecotypes",2008,2011,3,"Mil","field","MAH.13.A","MAH","8_08"
"M1551P73","8_0297.root","8_0297","root","ecotypes",2008,2011,3,"Jam","field","JAM.22.A","JAM","8_07"
"M1551P92","8_0593.root","8_0593","root","ecotypes",2008,2011,3,"Jam","field","PAR.10.A6","PAR","8_13"
"M1551P21","8_0203.root","8_0203","root","ecotypes",2008,2011,3,"Sil","field","MAH.5.A","MAH","8_05"
"M1551P83","8_0196.root","8_0196","root","ecotypes",2008,2011,3,"Sil","field","PAR.13.A","PAR","8_05"
"M1551P80","8_1047.root","8_1047","root","ecotypes",2008,2011,3,"Jam","field","MAH.48.A","MAH","8_22"
"M1554P130","8_1064.root","8_1064","root","ecotypes",2008,2011,3,"Sil","field","PAR.29.B2","PAR","8_23"
"M1554P182","8_0167.root","8_0167","root","ecotypes",2008,2011,3,"Jam","field","PAR.17.A1","PAR","8_04"
"M1554P102","8_1400.leaf","8_1400","leaf","ecotypes",2008,2011,3,"Mil","field","MAH.16.A","MAH","8_30"
"M1554P103","8_1368.root","8_1368","root","ecotypes",2008,2011,3,"Jam","field","JAM.15.A","JAM","8_29"
"M1554P119","8_1069.root","8_1069","root","ecotypes",2008,2011,3,"Sil","field","JAM.40.A","JAM","8_23"
"M1554P126","8_0942.leaf","8_0942","leaf","ecotypes",2008,2011,3,"Mil","field","MIL.53.A","MIL","8_20"
"M1554P140","8_0358.leaf","8_0358","leaf","ecotypes",2008,2011,3,"Mil","field","SILLow.2","SIL","8_08"
"M1554P144","8_0114.leaf","8_0114","leaf","ecotypes",2008,2011,3,"Mil","field","MIL.21.B2","MIL","8_03"
"M1554P157","8_0500.leaf","8_0500","leaf","ecotypes",2008,2011,3,"Mil","field","MAH.16.A","MAH","8_11"
"M1554P171","8_0914.leaf","8_0914","leaf","ecotypes",2008,2011,3,"Mil","field","MIL.32.A1","MIL","8_20"
"M1554P184","8_0898.root","8_0898","root","ecotypes",2008,2011,3,"Sil","field","SILLow.2","SIL","8_19"
"M1554P138","8_0318.root","8_0318","root","ecotypes",2008,2011,3,"Jam","field","JAM.40.A","JAM","8_07"
"M1554P132","8_0589.root","8_0589","root","ecotypes",2008,2011,3,"Jam","field","JAM.6.A","JAM","8_13"
"M1554P179","8_1388.root","8_1388","root","ecotypes",2008,2011,3,"Jam","field","SILLow.7","SIL","8_29"
"M1554P101","8_0370.leaf","8_0370","leaf","ecotypes",2008,2011,3,"Mil","field","MIL.32.A1","MIL","8_08"
"M1554P160","8_1203.root","8_1203","root","ecotypes",2008,2011,3,"Sil","field","MAH.38.B","MAH","8_26"
"M1554P128","8_0790.root","8_0790","root","ecotypes",2008,2011,3,"Jam","field","PAR.13.A","PAR","8_17"
"M1554P175","8_1204.root","8_1204","root","ecotypes",2008,2011,3,"Sil","field","SILLow.8","SIL","8_26"
"M1555P214","8_0204.root","8_0204","root","ecotypes",2008,2011,3,"Sil","field","JAM.6.A","JAM","8_05"
"M1555P216","8_1378.root","8_1378","root","ecotypes",2008,2011,3,"Jam","field","MAH.16.A","MAH","8_29"
"M1555P221","8_0157.root","8_0157","root","ecotypes",2008,2011,3,"Jam","field","MIL.54.A","MIL","8_04"
"M1555P231","8_0327.root","8_0327","root","ecotypes",2008,2011,3,"Jam","field","PAR.22.A2","PAR","8_07"
"M1555P250","8_1140.leaf","8_1140","leaf","ecotypes",2008,2011,3,"Mil","field","SILLow.8","SIL","8_24"
"M1555P254","8_0106.leaf","8_0106","leaf","ecotypes",2008,2011,3,"Mil","field","JAM.17.A","JAM","8_03"
"M1555P265","8_1225.root","8_1225","root","ecotypes",2008,2011,3,"Sil","field","MIL.54.A","MIL","8_26"
"M1555P212","8_0773.root","8_0773","root","ecotypes",2008,2011,3,"Jam","field","MAH.9.B","MAH","8_17"
"M1555P232","8_1071.root","8_1071","root","ecotypes",2008,2011,3,"Sil","field","SILupper.2","SIL","8_23"
"M1555P272","8_1389.root","8_1389","root","ecotypes",2008,2011,3,"Jam","field","PAR.9.A1","PAR","8_29"
"M1555P238","8_0663.root","8_0663","root","ecotypes",2008,2011,3,"Sil","field","PAR.13.A","PAR","8_14"
"M1555P225","8_0497.leaf","8_0497","leaf","ecotypes",2008,2011,3,"Mil","field","MIL.60.A","MIL","8_11"
"M1555P245","8_1137.leaf","8_1137","leaf","ecotypes",2008,2011,3,"Mil","field","JAM.1.A","JAM","8_24"
"M1555P207","8_0909.root","8_0909","root","ecotypes",2008,2011,3,"Sil","field","MIL.70.A","MIL","8_19"
"M1555P256","8_0612.root","8_0612","root","ecotypes",2008,2011,3,"Jam","field","MIL.68.B","MIL","8_13"
"M1555P276","8_0900.root","8_0900","root","ecotypes",2008,2011,3,"Sil","field","PAR.22.A2","PAR","8_19"
"M1555P205","8_0195.root","8_0195","root","ecotypes",2008,2011,3,"Sil","field","SILupper.2","SIL","8_05"
"M1555P190","8_0328.root","8_0328","root","ecotypes",2008,2011,3,"Jam","field","MAH.37.A","MAH","8_07"
"M1555P239","8_0174.root","8_0174","root","ecotypes",2008,2011,3,"Jam","field","MAH.37.A","MAH","8_04"
"M1555P240","8_0776.root","8_0776","root","ecotypes",2008,2011,3,"Jam","field","JAM.22.A","JAM","8_17"
"M1955P739","8_0392.leaf","8_0392","leaf","ecotypes",2008,2011,3,"Mah","field","JAM.7.B","JAM","8_09"
"M1955P741","8_1436.root","8_1436","root","ecotypes",2008,2011,3,"Mil","field","MIL.54.A","MIL","8_30"
"M1955P745","8_0833.root","8_0833","root","ecotypes",2008,2011,3,"Mah","field","SILLow.7","SIL","8_18"
"M1955P764","8_0546.leaf","8_0546","leaf","ecotypes",2008,2011,3,"Mah","field","SILupper.2","SIL","8_12"
"M1955P767","8_0909.leaf","8_0909","leaf","ecotypes",2008,2011,3,"Sil","field","MIL.70.A","MIL","8_19"
"M1955P814","8_0663.leaf","8_0663","leaf","ecotypes",2008,2011,3,"Sil","field","PAR.13.A","PAR","8_14"
"M1956P873","8_0910.leaf","8_0910","leaf","ecotypes",2008,2011,3,"Sil","field","JAM.16.A","JAM","8_19"
"M1957P1002","8_1204.leaf","8_1204","leaf","ecotypes",2008,2011,3,"Sil","field","SILLow.8","SIL","8_26"
"M1958P1020","8_0195.leaf","8_0195","leaf","ecotypes",2008,2011,3,"Sil","field","SILupper.2","SIL","8_05"
"M1959P1171","8_1076.leaf","8_1076","leaf","ecotypes",2008,2011,3,"Sil","field","MAH.5.A","MAH","8_23"
"M1960P1224","8_1225.leaf","8_1225","leaf","ecotypes",2008,2011,3,"Sil","field","MIL.54.A","MIL","8_26"
"M1960P1254","8_1214.leaf","8_1214","leaf","ecotypes",2008,2011,3,"Sil","field","JAM.40.A","JAM","8_26"
"M1961P1298","8_0647.leaf","8_0647","leaf","ecotypes",2008,2011,3,"Sil","field","JAM.26.A","JAM","8_14"
"M1961P1321","8_1209.leaf","8_1209","leaf","ecotypes",2008,2011,3,"Sil","field","PAR.22.A2","PAR","8_26"
"M1961P1333","8_0277.leaf","8_0277","leaf","ecotypes",2008,2011,3,"Sil","field","MAH.38.B","MAH","8_06"
"M1961P1359","8_0203.leaf","8_0203","leaf","ecotypes",2008,2011,3,"Sil","field","MAH.5.A","MAH","8_05"
"M1961P1364","8_0671.leaf","8_0671","leaf","ecotypes",2008,2011,3,"Sil","field","SILLow.3","SIL","8_14"
"M1977P1705","8_0545.root","8_0545","root","ecotypes",2008,2011,3,"Mah","field","SILLow.7","SIL","8_12"
"M1977P1706","8_1324.root","8_1324","root","ecotypes",2008,2011,3,"Mah","field","SILLow.3","SIL","8_28"
"M1977P1711","8_0850.leaf","8_0850","leaf","ecotypes",2008,2011,3,"Mah","field","PAR.29.B2","PAR","8_18"
"M1977P1717","8_0370.root","8_0370","root","ecotypes",2008,2011,3,"Mil","field","MIL.32.A1","MIL","8_08"
"M1977P1737","8_1069.leaf","8_1069","leaf","ecotypes",2008,2011,3,"Sil","field","JAM.40.A","JAM","8_23"
"M1978P290","8_1209.root","8_1209","root","ecotypes",2008,2011,3,"Sil","field","PAR.22.A2","PAR","8_26"
"M1978P293","8_0149.root","8_0149","root","ecotypes",2008,2011,3,"Jam","field","SILLow.7","SIL","8_04"
"M1978P307","8_0326.root","8_0326","root","ecotypes",2008,2011,3,"Jam","field","MIL.60.A","MIL","8_07"
"M1978P308","8_0107.leaf","8_0107","leaf","ecotypes",2008,2011,3,"Mil","field","JAM.15.A","JAM","8_03"
"M1978P314","8_1076.root","8_1076","root","ecotypes",2008,2011,3,"Sil","field","MAH.5.A","MAH","8_23"
"M1978P317","8_0910.root","8_0910","root","ecotypes",2008,2011,3,"Sil","field","JAM.16.A","JAM","8_19"
"M1978P318","8_0250.root","8_0250","root","ecotypes",2008,2011,3,"Sil","field","JAM.19.B","JAM","8_06"
"M1978P327","8_1061.root","8_1061","root","ecotypes",2008,2011,3,"Sil","field","MIL.54.A","MIL","8_23"
"M1978P356","8_0803.root","8_0803","root","ecotypes",2008,2011,3,"Jam","field","MIL.20.B","MIL","8_17"
"M1978P359","8_1032.root","8_1032","root","ecotypes",2008,2011,3,"Jam","field","JAM.15.A","JAM","8_22"
"M1978P361","8_0373.leaf","8_0373","leaf","ecotypes",2008,2011,3,"Mil","field","MIL.54.A","MIL","8_08"
"M1979P422","8_0158.root","8_0158","root","ecotypes",2008,2011,3,"Jam","field","JAM.6.A","JAM","8_04"
"M1979P426","8_0206.root","8_0206","root","ecotypes",2008,2011,3,"Sil","field","SILLow.7","SIL","8_05"
"M1979P442","8_1324.leaf","8_1324","leaf","ecotypes",2008,2011,3,"Mah","field","SILLow.3","SIL","8_28"
"M1979P447","8_0096.leaf","8_0096","leaf","ecotypes",2008,2011,3,"Mah","field","PAR.9.A1","PAR","8_02"
"M1979P449","8_0926.root","8_0926","root","ecotypes",2008,2011,3,"Mil","field","PAR.29.B2","PAR","8_20"
"M1979P454","8_0106.root","8_0106","root","ecotypes",2008,2011,3,"Mil","field","JAM.17.A","JAM","8_03"
"M1979P458","8_0548.root","8_0548","root","ecotypes",2008,2011,3,"Mah","field","JAM.40.A","JAM","8_12"
"M1979P439","8_0609.leaf","8_0609","leaf","ecotypes",2008,2011,3,"Jam","field","SILLow.2","SIL","8_13"
"M1979P420","8_0932.leaf","8_0932","leaf","ecotypes",2008,2011,3,"Mil","field","MIL.54.A","MIL","8_20"
"M1979P383","8_0775.root","8_0775","root","ecotypes",2008,2011,3,"Jam","field","SILLow.5","SIL","8_17"
"M1979P440","8_1368.leaf","8_1368","leaf","ecotypes",2008,2011,3,"Jam","field","JAM.15.A","JAM","8_29"
"M1979P369","8_0243.root","8_0243","root","ecotypes",2008,2011,3,"Sil","field","MIL.70.A","MIL","8_06"
"M1979P378","8_0672.root","8_0672","root","ecotypes",2008,2011,3,"Sil","field","MIL.32.A1","MIL","8_14"
"M1979P381","8_0258.root","8_0258","root","ecotypes",2008,2011,3,"Sil","field","SILLow.1","SIL","8_06"
"M1979P441","8_1047.leaf","8_1047","leaf","ecotypes",2008,2011,3,"Jam","field","MAH.48.A","MAH","8_22"
"M1979P377","8_1436.leaf","8_1436","leaf","ecotypes",2008,2011,3,"Mil","field","MIL.54.A","MIL","8_30"
"M1979P417","8_1214.root","8_1214","root","ecotypes",2008,2011,3,"Sil","field","JAM.40.A","JAM","8_26"
"M1979P370","8_1023.root","8_1023","root","ecotypes",2008,2011,3,"Jam","field","MIL.68.B","MIL","8_22"
"M1979P451","8_0373.root","8_0373","root","ecotypes",2008,2011,3,"Mil","field","MIL.54.A","MIL","8_08"
"M1980P461","8_0398.leaf","8_0398","leaf","ecotypes",2008,2011,3,"Mah","field","SILupper.2","SIL","8_09"
"M1980P462","8_0157.leaf","8_0157","leaf","ecotypes",2008,2011,3,"Jam","field","MIL.54.A","MIL","8_04"
"M1980P464","8_0998.leaf","8_0998","leaf","ecotypes",2008,2011,3,"Mah","field","SILLow.7","SIL","8_21"
"M1980P469","8_0424.leaf","8_0424","leaf","ecotypes",2008,2011,3,"Mah","field","MIL.24.A","MIL","8_09"
"M1980P470","8_0864.root","8_0864","root","ecotypes",2008,2011,3,"Mah","field","SILupper.2","SIL","8_18"
"M1980P476","8_0850.root","8_0850","root","ecotypes",2008,2011,3,"Mah","field","PAR.29.B2","PAR","8_18"
"M1980P481","8_0775.leaf","8_0775","leaf","ecotypes",2008,2011,3,"Jam","field","SILLow.5","SIL","8_17"
"M1980P484","8_1378.leaf","8_1378","leaf","ecotypes",2008,2011,3,"Jam","field","MAH.16.A","MAH","8_29"
"M1980P489","8_0976.leaf","8_0976","leaf","ecotypes",2008,2011,3,"Mah","field","JAM.1.A","JAM","8_21"
"M1980P491","8_0358.root","8_0358","root","ecotypes",2008,2011,3,"Mil","field","SILLow.2","SIL","8_08"
"M1980P496","8_0419.leaf","8_0419","leaf","ecotypes",2008,2011,3,"Mah","field","MAH.16.A","MAH","8_09"
"M1980P499","8_0821.root","8_0821","root","ecotypes",2008,2011,3,"Mah","field","MAH.46.A","MAH","8_18"
