"","Name","Plant_ID","Type","Experiment","Cohort","Harvested","Age","Site","Treatment","Line","Genotype","Block"
"M1980P501","8_0833.leaf","8_0833","leaf","ecotypes",2008,2011,3,"Mah","field","SILLow.7","SIL","8_18"
"M1980P503","8_1322.leaf","8_1322","leaf","ecotypes",2008,2011,3,"Mah","field","JAM.7.B","JAM","8_28"
"M1980P513","8_0961.root","8_0961","root","ecotypes",2008,2011,3,"Mah","field","SILupper.2","SIL","8_21"
"M1980P519","8_1337.root","8_1337","root","ecotypes",2008,2011,3,"Mah","field","MIL.32.A1","MIL","8_28"
"M1980P520","8_0328.leaf","8_0328","leaf","ecotypes",2008,2011,3,"Jam","field","MAH.37.A","MAH","8_07"
"M1980P532","8_0430.leaf","8_0430","leaf","ecotypes",2008,2011,3,"Mah","field","SILLow.7","SIL","8_09"
"M1980P533","8_0318.leaf","8_0318","leaf","ecotypes",2008,2011,3,"Jam","field","JAM.40.A","JAM","8_07"
"M1980P534","8_1333.root","8_1333","root","ecotypes",2008,2011,3,"Mah","field","MAH.16.A","MAH","8_28"
"M1980P535","8_0573.root","8_0573","root","ecotypes",2008,2011,3,"Mah","field","PAR.9.A1","PAR","8_12"
"M1980P539","8_0561.leaf","8_0561","leaf","ecotypes",2008,2011,3,"Mah","field","MAH.37.A","MAH","8_12"
"M1980P541","8_1337.leaf","8_1337","leaf","ecotypes",2008,2011,3,"Mah","field","MIL.32.A1","MIL","8_28"
"M1980P543","8_1003.leaf","8_1003","leaf","ecotypes",2008,2011,3,"Mah","field","PAR.29.B2","PAR","8_21"
"M1980P547","8_1400.root","8_1400","root","ecotypes",2008,2011,3,"Mil","field","MAH.16.A","MAH","8_30"
"M1980P507","8_0828.root","8_0828","root","ecotypes",2008,2011,3,"Mah","field","MIL.53.A","MIL","8_18"
"M1980P510","8_0961.leaf","8_0961","leaf","ecotypes",2008,2011,3,"Mah","field","SILupper.2","SIL","8_21"
"M1980P494","8_0310.leaf","8_0310","leaf","ecotypes",2008,2011,3,"Jam","field","SILLow.5","SIL","8_07"
"M1980P538","8_0821.leaf","8_0821","leaf","ecotypes",2008,2011,3,"Mah","field","MAH.46.A","MAH","8_18"
"M1980P483","8_0991.leaf","8_0991","leaf","ecotypes",2008,2011,3,"Mah","field","MAH.38.B","MAH","8_21"
"M1980P505","8_1013.leaf","8_1013","leaf","ecotypes",2008,2011,3,"Jam","field","PAR.22.A2","PAR","8_22"
"M1980P506","8_0393.leaf","8_0393","leaf","ecotypes",2008,2011,3,"Mah","field","PAR.13.A","PAR","8_09"
"M1980P486","8_0424.root","8_0424","root","ecotypes",2008,2011,3,"Mah","field","MIL.24.A","MIL","8_09"
"M1980P471","8_0158.leaf","8_0158","leaf","ecotypes",2008,2011,3,"Jam","field","JAM.6.A","JAM","8_04"
"M1980P502","8_0074.leaf","8_0074","leaf","ecotypes",2008,2011,3,"Mah","field","JAM.15.A","JAM","8_02"
"M1981P555","8_1335.leaf","8_1335","leaf","ecotypes",2008,2011,3,"Mah","field","SILupper.2","SIL","8_28"
"M1981P556","8_0593.leaf","8_0593","leaf","ecotypes",2008,2011,3,"Jam","field","PAR.10.A6","PAR","8_13"
"M1981P560","8_1298.leaf","8_1298","leaf","ecotypes",2008,2011,3,"Mah","field","PAR.9.A1","PAR","8_28"
"M1981P561","8_0790.leaf","8_0790","leaf","ecotypes",2008,2011,3,"Jam","field","PAR.13.A","PAR","8_17"
"M1981P563","8_0053.leaf","8_0053","leaf","ecotypes",2008,2011,3,"Mah","field","MAH.8.A1","MAH","8_02"
"M1981P564","8_0115.root","8_0115","root","ecotypes",2008,2011,3,"Mil","field","MAH.48.A","MAH","8_03"
"M1981P565","8_0922.root","8_0922","root","ecotypes",2008,2011,3,"Mil","field","MAH.11.A","MAH","8_20"
"M1981P573","8_0976.root","8_0976","root","ecotypes",2008,2011,3,"Mah","field","JAM.1.A","JAM","8_21"
"M1981P575","8_0914.root","8_0914","root","ecotypes",2008,2011,3,"Mil","field","MIL.32.A1","MIL","8_20"
"M1981P577","8_0573.leaf","8_0573","leaf","ecotypes",2008,2011,3,"Mah","field","PAR.9.A1","PAR","8_12"
"M1981P578","8_0392.root","8_0392","root","ecotypes",2008,2011,3,"Mah","field","JAM.7.B","JAM","8_09"
"M1981P582","8_1023.leaf","8_1023","leaf","ecotypes",2008,2011,3,"Jam","field","MIL.68.B","MIL","8_22"
"M1981P584","8_0864.leaf","8_0864","leaf","ecotypes",2008,2011,3,"Mah","field","SILupper.2","SIL","8_18"
"M1981P586","8_0612.leaf","8_0612","leaf","ecotypes",2008,2011,3,"Jam","field","MIL.68.B","MIL","8_13"
"M1981P587","8_0090.leaf","8_0090","leaf","ecotypes",2008,2011,3,"Mah","field","SILLow.5","SIL","8_02"
"M1981P588","8_0546.root","8_0546","root","ecotypes",2008,2011,3,"Mah","field","SILupper.2","SIL","8_12"
"M1981P589","8_0114.root","8_0114","root","ecotypes",2008,2011,3,"Mil","field","MIL.21.B2","MIL","8_03"
"M1981P591","8_1322.root","8_1322","root","ecotypes",2008,2011,3,"Mah","field","JAM.7.B","JAM","8_28"
"M1981P593","8_1389.leaf","8_1389","leaf","ecotypes",2008,2011,3,"Jam","field","PAR.9.A1","PAR","8_29"
"M1981P594","8_1335.root","8_1335","root","ecotypes",2008,2011,3,"Mah","field","SILupper.2","SIL","8_28"
"M1981P597","8_0545.leaf","8_0545","leaf","ecotypes",2008,2011,3,"Mah","field","SILLow.7","SIL","8_12"
"M1981P598","8_1003.root","8_1003","root","ecotypes",2008,2011,3,"Mah","field","PAR.29.B2","PAR","8_21"
"M1981P599","8_0087.leaf","8_0087","leaf","ecotypes",2008,2011,3,"Mah","field","MIL.20.B","MIL","8_02"
"M1981P606","8_0074.root","8_0074","root","ecotypes",2008,2011,3,"Mah","field","JAM.15.A","JAM","8_02"
"M1981P609","8_0589.leaf","8_0589","leaf","ecotypes",2008,2011,3,"Jam","field","JAM.6.A","JAM","8_13"
"M1981P611","8_0087.root","8_0087","root","ecotypes",2008,2011,3,"Mah","field","MIL.20.B","MIL","8_02"
"M1981P614","8_0942.root","8_0942","root","ecotypes",2008,2011,3,"Mil","field","MIL.53.A","MIL","8_20"
"M1981P616","8_0365.root","8_0365","root","ecotypes",2008,2011,3,"Mil","field","MIL.68.B","MIL","8_08"
"M1981P618","8_0351.root","8_0351","root","ecotypes",2008,2011,3,"Mil","field","MAH.13.A","MAH","8_08"
"M1981P619","8_0970.root","8_0970","root","ecotypes",2008,2011,3,"Mah","field","MIL.68.B","MIL","8_21"
"M1981P623","8_0174.leaf","8_0174","leaf","ecotypes",2008,2011,3,"Jam","field","MAH.37.A","MAH","8_04"
"M1981P626","8_1388.leaf","8_1388","leaf","ecotypes",2008,2011,3,"Jam","field","SILLow.7","SIL","8_29"
"M1981P631","8_0393.root","8_0393","root","ecotypes",2008,2011,3,"Mah","field","PAR.13.A","PAR","8_09"
"M1981P632","8_0776.leaf","8_0776","leaf","ecotypes",2008,2011,3,"Jam","field","JAM.22.A","JAM","8_17"
"M1981P636","8_1333.leaf","8_1333","leaf","ecotypes",2008,2011,3,"Mah","field","MAH.16.A","MAH","8_28"
"M1981P638","8_0608.leaf","8_0608","leaf","ecotypes",2008,2011,3,"Jam","field","MAH.16.A","MAH","8_13"
"M1981P639","8_1382.leaf","8_1382","leaf","ecotypes",2008,2011,3,"Jam","field","MIL.70.A","MIL","8_29"
"M1981P643","8_0098.root","8_0098","root","ecotypes",2008,2011,3,"Mil","field","MAH.8.A1","MAH","8_03"
"M1982P701","8_0096.root","8_0096","root","ecotypes",2008,2011,3,"Mah","field","PAR.9.A1","PAR","8_02"
"M1982P729","8_0090.root","8_0090","root","ecotypes",2008,2011,3,"Mah","field","SILLow.5","SIL","8_02"
"M1982P728","8_0488.root","8_0488","root","ecotypes",2008,2011,3,"Mil","field","JAM.17.A","JAM","8_11"
"M1982P663","8_1048.leaf","8_1048","leaf","ecotypes",2008,2011,3,"Jam","field","SILLow.2","SIL","8_22"
"M1982P696","8_0327.leaf","8_0327","leaf","ecotypes",2008,2011,3,"Jam","field","PAR.22.A2","PAR","8_07"
"M1982P730","8_0998.root","8_0998","root","ecotypes",2008,2011,3,"Mah","field","SILLow.7","SIL","8_21"
"M1982P705","8_0773.leaf","8_0773","leaf","ecotypes",2008,2011,3,"Jam","field","MAH.9.B","MAH","8_17"
"M1982P667","8_0398.root","8_0398","root","ecotypes",2008,2011,3,"Mah","field","SILupper.2","SIL","8_09"
"M1982P670","8_0932.root","8_0932","root","ecotypes",2008,2011,3,"Mil","field","MIL.54.A","MIL","8_20"
"M1982P661","8_0149.leaf","8_0149","leaf","ecotypes",2008,2011,3,"Jam","field","SILLow.7","SIL","8_04"
"M1982P664","8_0803.leaf","8_0803","leaf","ecotypes",2008,2011,3,"Jam","field","MIL.20.B","MIL","8_17"
"M1982P711","8_0326.leaf","8_0326","leaf","ecotypes",2008,2011,3,"Jam","field","MIL.60.A","MIL","8_07"
"M1982P645","8_0561.root","8_0561","root","ecotypes",2008,2011,3,"Mah","field","MAH.37.A","MAH","8_12"
"M1982P662","8_0107.root","8_0107","root","ecotypes",2008,2011,3,"Mil","field","JAM.15.A","JAM","8_03"
"M1982P679","8_1032.leaf","8_1032","leaf","ecotypes",2008,2011,3,"Jam","field","JAM.15.A","JAM","8_22"
"M1982P720","8_1298.root","8_1298","root","ecotypes",2008,2011,3,"Mah","field","PAR.9.A1","PAR","8_28"
"M1982P710","8_1140.root","8_1140","root","ecotypes",2008,2011,3,"Mil","field","SILLow.8","SIL","8_24"
"M1982P646","8_0853.leaf","8_0853","leaf","ecotypes",2008,2011,3,"Mah","field","JAM.6.A","JAM","8_18"
"M1982P724","8_0101.root","8_0101","root","ecotypes",2008,2011,3,"Mil","field","MIL.60.A","MIL","8_03"
"M1982P683","8_0828.leaf","8_0828","leaf","ecotypes",2008,2011,3,"Mah","field","MIL.53.A","MIL","8_18"
"M1982P703","8_0853.root","8_0853","root","ecotypes",2008,2011,3,"Mah","field","JAM.6.A","JAM","8_18"
"M1982P655","8_0167.leaf","8_0167","leaf","ecotypes",2008,2011,3,"Jam","field","PAR.17.A1","PAR","8_04"
"M1982P707","8_0419.root","8_0419","root","ecotypes",2008,2011,3,"Mah","field","MAH.16.A","MAH","8_09"
"M1982P700","8_0915.root","8_0915","root","ecotypes",2008,2011,3,"Mil","field","MIL.50.A","MIL","8_20"
"M1551P7","8_0926.leaf","8_0926","leaf","ecotypes",2008,2011,3,"Mil","field","PAR.29.B2","PAR","8_20"
"M1551P65","8_0922.leaf","8_0922","leaf","ecotypes",2008,2011,3,"Mil","field","MAH.11.A","MAH","8_20"
"M1551P16","8_0383.leaf","8_0383","leaf","ecotypes",2008,2011,3,"Mil","field","JAM.22.A","JAM","8_08"
"M1551P70","8_0958.leaf","8_0958","leaf","ecotypes",2008,2011,3,"Mil","field","MIL.60.A","MIL","8_20"
"M1551P51","8_0915.leaf","8_0915","leaf","ecotypes",2008,2011,3,"Mil","field","MIL.50.A","MIL","8_20"
"M1554P112","8_0274.root","8_0274","root","ecotypes",2008,2011,3,"Sil","field","PAR.13.A","PAR","8_06"
"M1554P124","8_0647.root","8_0647","root","ecotypes",2008,2011,3,"Sil","field","JAM.26.A","JAM","8_14"
"M1554P163","8_0631.root","8_0631","root","ecotypes",2008,2011,3,"Sil","field","MAH.48.A","MAH","8_14"
"M1690P1397","8_0250.leaf","8_0250","leaf","ecotypes",2008,2011,3,"Sil","field","JAM.19.B","JAM","8_06"
"M1690P1399","8_0204.leaf","8_0204","leaf","ecotypes",2008,2011,3,"Sil","field","JAM.6.A","JAM","8_05"
"M1955P738","8_0991.root","8_0991","root","ecotypes",2008,2011,3,"Mah","field","MAH.38.B","MAH","8_21"
"M1955P749","8_0383.root","8_0383","root","ecotypes",2008,2011,3,"Mil","field","JAM.22.A","JAM","8_08"
"M1955P757","8_0493.root","8_0493","root","ecotypes",2008,2011,3,"Mil","field","MIL.70.A","MIL","8_11"
"M1955P766","8_0958.root","8_0958","root","ecotypes",2008,2011,3,"Mil","field","MIL.60.A","MIL","8_20"
"M1955P817","8_1203.leaf","8_1203","leaf","ecotypes",2008,2011,3,"Sil","field","MAH.38.B","MAH","8_26"
"M1955P819","8_0206.leaf","8_0206","leaf","ecotypes",2008,2011,3,"Sil","field","SILLow.7","SIL","8_05"
"M1956P915","8_1061.leaf","8_1061","leaf","ecotypes",2008,2011,3,"Sil","field","MIL.54.A","MIL","8_23"
"M1956P853","8_0258.leaf","8_0258","leaf","ecotypes",2008,2011,3,"Sil","field","SILLow.1","SIL","8_06"
"M1956P899","8_0897.leaf","8_0897","leaf","ecotypes",2008,2011,3,"Sil","field","MAH.46.A","MAH","8_19"
"M1957P982","8_0243.leaf","8_0243","leaf","ecotypes",2008,2011,3,"Sil","field","MIL.70.A","MIL","8_06"
"M1959P1106","8_0898.leaf","8_0898","leaf","ecotypes",2008,2011,3,"Sil","field","SILLow.2","SIL","8_19"
"M1959P1121","8_0196.leaf","8_0196","leaf","ecotypes",2008,2011,3,"Sil","field","PAR.13.A","PAR","8_05"
"M1960P1219","8_0274.leaf","8_0274","leaf","ecotypes",2008,2011,3,"Sil","field","PAR.13.A","PAR","8_06"
"M1960P1238","8_0900.leaf","8_0900","leaf","ecotypes",2008,2011,3,"Sil","field","PAR.22.A2","PAR","8_19"
"M1961P1308","8_0672.leaf","8_0672","leaf","ecotypes",2008,2011,3,"Sil","field","MIL.32.A1","MIL","8_14"
"M1961P1338","8_1064.leaf","8_1064","leaf","ecotypes",2008,2011,3,"Sil","field","PAR.29.B2","PAR","8_23"
"M1961P1369","8_1071.leaf","8_1071","leaf","ecotypes",2008,2011,3,"Sil","field","SILupper.2","SIL","8_23"
"M1977P1709","8_0053.root","8_0053","root","ecotypes",2008,2011,3,"Mah","field","MAH.8.A1","MAH","8_02"
"M1977P1714","8_0430.root","8_0430","root","ecotypes",2008,2011,3,"Mah","field","SILLow.7","SIL","8_09"
"M1978P339","8_0488.leaf","8_0488","leaf","ecotypes",2008,2011,3,"Mil","field","JAM.17.A","JAM","8_11"
"M1980P475","8_0560.root","8_0560","root","ecotypes",2008,2011,3,"Mah","field","MIL.70.A","MIL","8_12"
"M1982P709","8_0560.leaf","8_0560","leaf","ecotypes",2008,2011,3,"Mah","field","MIL.70.A","MIL","8_12"
"M1955P759","8_1137.root","8_1137","root","ecotypes",2008,2011,3,"Mil","field","JAM.1.A","JAM","8_24"
